id,seller_id,name,description,price,image,stock,category_id,created_at
1,18,YemenTech Ultra Heels,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,93.32,/uploads/synthetic_prod_1.jpg,161,4,2024-05-17 11:46:32
2,9,RedSea Luxury Mocha Coffee,Engineered for high performance. Customers love the premium feel and long-lasting build.,38.57,/uploads/synthetic_prod_2.jpg,361,8,2025-10-09 11:46:32
3,25,Moka Organic Belt,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,139.78,/uploads/synthetic_prod_3.jpg,355,3,2024-06-09 11:46:32
4,9,DesertOasis Handcrafted Olive Oil,Discover the rich heritage and modern utility blended perfectly in this product.,80.83,/uploads/synthetic_prod_4.jpg,880,8,2024-04-29 11:46:32
5,11,Hadramout Classic Wooden Box,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,107.0,/uploads/synthetic_prod_5.jpg,728,9,2026-01-27 11:46:32
6,10,DesertOasis Essential Lip Balm,A must-have for your collection. Designed for durability and excellence.,37.15,/uploads/synthetic_prod_6.jpg,319,7,2026-02-05 11:46:32
7,1,AdenGoods Luxury Shawl,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,28.82,/uploads/synthetic_prod_7.jpg,614,4,2025-12-13 11:46:32
8,22,Balkis Essential Power Bank,Engineered for high performance. Customers love the premium feel and long-lasting build.,183.67,/uploads/synthetic_prod_8.jpg,787,2,2025-06-11 11:46:32
9,21,Hadramout Handcrafted Tablet,Engineered for high performance. Customers love the premium feel and long-lasting build.,620.84,/uploads/synthetic_prod_9.jpg,25,2,2025-11-16 11:46:32
10,23,GoldenHorn Handcrafted Smartwatch,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,987.19,/uploads/synthetic_prod_10.jpg,581,2,2024-04-20 11:46:32
11,17,AdenGoods Advanced Mocha Coffee,Engineered for high performance. Customers love the premium feel and long-lasting build.,76.59,/uploads/synthetic_prod_11.jpg,508,8,2026-03-03 11:46:32
12,5,Saba Modern Dates,Engineered for high performance. Customers love the premium feel and long-lasting build.,158.35,/uploads/synthetic_prod_12.jpg,225,8,2024-12-04 11:46:32
13,25,DesertOasis Advanced Board Game,Discover the rich heritage and modern utility blended perfectly in this product.,103.92,/uploads/synthetic_prod_13.jpg,666,5,2025-08-12 11:46:32
14,3,Saba Advanced Shawl,Engineered for high performance. Customers love the premium feel and long-lasting build.,27.57,/uploads/synthetic_prod_14.jpg,196,4,2024-07-18 11:46:32
15,22,Moka Organic Hawaij Spice,Engineered for high performance. Customers love the premium feel and long-lasting build.,212.53,/uploads/synthetic_prod_15.jpg,299,8,2025-01-13 11:46:32
16,10,RedSea Premium Mug,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,13.96,/uploads/synthetic_prod_16.jpg,6,6,2026-03-03 11:46:32
17,3,RedSea Organic Pottery,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,77.71,/uploads/synthetic_prod_17.jpg,341,9,2025-10-07 11:46:32
18,2,Hadramout Essential Watch,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,11.87,/uploads/synthetic_prod_18.jpg,998,3,2025-06-12 11:46:32
19,18,DesertOasis Organic Heels,A must-have for your collection. Designed for durability and excellence.,88.84,/uploads/synthetic_prod_19.jpg,875,4,2024-09-09 11:46:32
20,19,GoldenHorn Modern Wallet,A must-have for your collection. Designed for durability and excellence.,112.43,/uploads/synthetic_prod_20.jpg,490,3,2025-02-05 11:46:32
21,7,Hadramout Advanced Sidr Honey,Engineered for high performance. Customers love the premium feel and long-lasting build.,221.56,/uploads/synthetic_prod_21.jpg,663,8,2026-01-05 11:46:32
22,25,YemenTech Handcrafted Copper Tray,A must-have for your collection. Designed for durability and excellence.,113.98,/uploads/synthetic_prod_22.jpg,304,9,2024-08-13 11:46:32
23,17,RedSea Handcrafted Olive Oil,Discover the rich heritage and modern utility blended perfectly in this product.,151.46,/uploads/synthetic_prod_23.jpg,668,8,2025-04-09 11:46:32
24,18,Balkis Premium Doll,Discover the rich heritage and modern utility blended perfectly in this product.,124.41,/uploads/synthetic_prod_24.jpg,189,5,2026-03-29 11:46:32
25,7,RedSea Classic Power Bank,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,860.06,/uploads/synthetic_prod_25.jpg,150,2,2025-07-30 11:46:32
26,10,Hadramout Modern Handwoven Tapestry,Engineered for high performance. Customers love the premium feel and long-lasting build.,134.7,/uploads/synthetic_prod_26.jpg,503,9,2025-11-03 11:46:32
27,21,DesertOasis Premium Lip Balm,A must-have for your collection. Designed for durability and excellence.,149.46,/uploads/synthetic_prod_27.jpg,460,7,2026-03-26 11:46:32
28,20,GoldenHorn Handcrafted Incense Burner,A must-have for your collection. Designed for durability and excellence.,19.69,/uploads/synthetic_prod_28.jpg,44,9,2025-10-07 11:46:32
29,2,AdenGoods Modern Hawaij Spice,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,246.98,/uploads/synthetic_prod_29.jpg,437,8,2026-02-21 11:46:32
30,7,AdenGoods Classic Rug,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,115.51,/uploads/synthetic_prod_30.jpg,735,6,2025-10-14 11:46:32
31,17,SanaaStyle Authentic Pottery,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,218.9,/uploads/synthetic_prod_31.jpg,866,9,2024-09-16 11:46:32
32,22,RedSea Organic Heels,A must-have for your collection. Designed for durability and excellence.,78.93,/uploads/synthetic_prod_32.jpg,417,4,2024-09-14 11:46:32
33,24,AdenGoods Ultra Dates,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,194.62,/uploads/synthetic_prod_33.jpg,993,8,2026-03-06 11:46:32
34,23,RedSea Essential Woven Basket,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,81.38,/uploads/synthetic_prod_34.jpg,691,9,2025-02-28 11:46:32
35,25,GoldenHorn Modern Smartwatch,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,1472.99,/uploads/synthetic_prod_35.jpg,737,2,2025-09-17 11:46:32
36,10,Hadramout Classic Cardamom,A must-have for your collection. Designed for durability and excellence.,86.54,/uploads/synthetic_prod_36.jpg,609,8,2025-09-22 11:46:32
37,19,Saba Classic Cardamom,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,119.73,/uploads/synthetic_prod_37.jpg,614,8,2025-09-12 11:46:32
38,7,Moka Luxury Doll,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,22.9,/uploads/synthetic_prod_38.jpg,395,5,2025-07-09 11:46:32
39,5,Saba Organic Copper Tray,Discover the rich heritage and modern utility blended perfectly in this product.,175.0,/uploads/synthetic_prod_39.jpg,641,9,2025-09-27 11:46:32
40,21,Hadramout Advanced Coffee Pot,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,94.43,/uploads/synthetic_prod_40.jpg,289,6,2024-09-03 11:46:32
41,16,GoldenHorn Ultra Action Figure,Discover the rich heritage and modern utility blended perfectly in this product.,89.73,/uploads/synthetic_prod_41.jpg,720,5,2024-08-20 11:46:32
42,11,Balkis Premium Copper Tray,Engineered for high performance. Customers love the premium feel and long-lasting build.,52.66,/uploads/synthetic_prod_42.jpg,121,9,2025-07-19 11:46:32
43,1,AdenGoods Modern Ring,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,38.23,/uploads/synthetic_prod_43.jpg,576,3,2025-11-10 11:46:32
44,18,Saba Classic Pottery,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,156.78,/uploads/synthetic_prod_44.jpg,408,9,2024-05-18 11:46:32
45,11,Saba Modern Cushion,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,87.73,/uploads/synthetic_prod_45.jpg,396,6,2025-07-10 11:46:32
46,22,DesertOasis Premium Ring,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,114.34,/uploads/synthetic_prod_46.jpg,513,3,2024-08-15 11:46:32
47,18,YemenTech Classic Necklace,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,93.15,/uploads/synthetic_prod_47.jpg,133,4,2024-09-15 11:46:32
48,14,SanaaStyle Handcrafted Lantern,Engineered for high performance. Customers love the premium feel and long-lasting build.,134.15,/uploads/synthetic_prod_48.jpg,433,6,2024-09-16 11:46:32
49,3,Moka Classic Ring,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,141.08,/uploads/synthetic_prod_49.jpg,464,3,2024-07-13 11:46:32
50,25,Saba Ultra Serum,A must-have for your collection. Designed for durability and excellence.,85.3,/uploads/synthetic_prod_50.jpg,284,7,2025-06-25 11:46:32
51,8,SanaaStyle Premium Pottery,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,139.38,/uploads/synthetic_prod_51.jpg,483,9,2025-08-04 11:46:32
52,2,AdenGoods Premium Action Figure,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,7.45,/uploads/synthetic_prod_52.jpg,55,5,2025-03-06 11:46:32
53,5,DesertOasis Luxury Fouta,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,9.42,/uploads/synthetic_prod_53.jpg,299,3,2025-10-21 11:46:32
54,17,GoldenHorn Classic Saffron,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,193.34,/uploads/synthetic_prod_54.jpg,462,8,2026-01-22 11:46:32
55,21,GoldenHorn Premium Argan Oil,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,136.45,/uploads/synthetic_prod_55.jpg,560,7,2024-04-29 11:46:32
56,18,RedSea Ultra Mug,Discover the rich heritage and modern utility blended perfectly in this product.,146.03,/uploads/synthetic_prod_56.jpg,403,6,2025-04-22 11:46:32
57,25,GoldenHorn Essential Ring,A must-have for your collection. Designed for durability and excellence.,63.83,/uploads/synthetic_prod_57.jpg,444,3,2024-06-21 11:46:32
58,24,DesertOasis Handcrafted Dress,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,119.77,/uploads/synthetic_prod_58.jpg,109,4,2024-10-18 11:46:32
59,1,Saba Advanced Saffron,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,234.27,/uploads/synthetic_prod_59.jpg,594,8,2026-02-26 11:46:32
